a "In; on; at; by."
acolyte "One who attends; an assistant."
acolyth "Same as Acolyte."
acolythist "An acolyte."
aconddylose "Alt. of Acondylous"
acondylous "Being without joints; jointless."
aconital "Of the nature of aconite."
aconitia "Same as Aconitine."
aconitic "Of or pertaining to aconite."
acopic "Relieving weariness; restorative."
acorn "See Acorn-shell."
acorned "Furnished or loaded with acorns."
acorn-shell "One of the sessile cirripeds; a barnacle of the genus Balanus. See Barnacle."
acosmism "A denial of the existence of the universe as distinct from God."
acouchy "A small species of agouti ."
acoumeter "An instrument for measuring the acuteness of the sense of hearing."
acoumetry "The measuring of the power or extent of hearing."
acoustic "A medicine or agent to assist hearing."
acoustical "Of or pertaining to acoustics."
acoustically "In relation to sound or to hearing."
acoustician "One versed in acoustics."
acquaint "Acquainted."
acquainted "of Acquaint"
acquainting "of Acquaint"
acquaintable "Easy to be acquainted with; affable."
acquaintance "A person or persons with whom one is acquainted."
acquaintanceship "A state of being acquainted; acquaintance."
acquaintant "An acquaintance."
acquaintedness "State of being acquainted; degree of acquaintance."
acquest "Acquisition; the thing gained."
acquiesced "of Acquiesce"
acquiescing "of Acquiesce"
acquiescence "Submission to an injury by the party injured."
acquiescency "The quality of being acquiescent; acquiescence."
acquiescently "In an acquiescent manner."
acquiet "To quiet."
acquirability "The quality of being acquirable; attainableness."
acquirable "Capable of being acquired."
acquired "of Acquire"
acquiring "of Acquire"
acquirer "A person who acquires."
acquiry "Acquirement."
acquisite "Acquired."
acquisition "The act or process of acquiring."
acquisitive "Acquired."
acquisitively "In the way of acquisition."
acquisitiveness "The quality of being acquisitive; propensity to acquire property; desire of possession."
acquisitor "One who acquires."
acquist "Acquisition; gain."
acquit "Acquitted; set free; rid of."
acquitted "of Acquit"
acquitting "of Acquit"
acquitment "Acquittal."
acquittal "The act of acquitting; discharge from debt or obligation; acquittance."
acquittance "The clearing off of debt or obligation; a release or discharge from debt or other liability."
acquitter "One who acquits or releases."
acrania "Partial or total absence of the skull."
acranial "Wanting a skull."
acrase "Alt. of Acraze"
acraze "To craze."
acrasia "Alt. of Acrasy"
acrasy "Excess; intemperance."
acre "Any field of arable or pasture land."
acridity "Alt. of Acridness"
acridly "In an acid manner."
acrimoniously "In an acrimonious manner."
acrimoniousness "The quality of being acrimonious; asperity; acrimony."
acrimonies "of Acrimony"
acrisia "Alt. of Acrisy"
acrisy "Inability to judge."
acritan "Of or pertaining to the Acrita."
acrite "Acritan."
acritochromacy "Color blindness; achromatopsy."
acritude "Acridity; pungency joined with heat."
acrity "Sharpness; keenness."
acroamatic "Alt. of Acroamatical"
acroatic "Same as Acroamatic."
acrobatic "Pertaining to an acrobat."
acrobatism "Feats of the acrobat; daring gymnastic feats; high vaulting."
acrocarpous "Having a terminal fructification; having the fruit at the end of the stalk."
acrocephalic "Characterized by a high skull."
acrocephaly "Loftiness of skull."
acrodont "One of a group of lizards having the teeth immovably united to the top of the alveolar ridge."
acrolithan "Alt. of Acrolithic"
acromegaly "Chronic enlargement of the extremities and face."
acromial "Of or pertaining to the acromion."
acromion "The outer extremity of the shoulder blade."
acromonogrammatic "Having each verse begin with the same letter as that with which the preceding verse ends."
acronyc "Alt. of Acronychal"
acronyctous "Acronycal."
acrook "Crookedly."
acrophony "The use of a picture symbol of an object to represent phonetically the initial sound of the name of the object."
acropodium "The entire upper surface of the foot."
acropolitan "Pertaining to an acropolis."
acrospire "The sprout at the end of a seed when it begins to germinate; the plumule in germination; -- so called from its spiral form."
acrospore "A spore borne at the extremity of the cells of fructification in fungi."
acrosporous "Having acrospores."
across "Obliquely; athwart; amiss; awry."
acrostic "A Hebrew poem in which the lines or stanzas begin with the letters of the alphabet in regular order . See Abecedarian."
acrostically "After the manner of an acrostic."
acrotarsium "The instep or front of the tarsus."
acroter "Same as Acroterium."
acroteria "of Acroterium"
acrotic "Pertaining to or affecting the surface."
acrotism "Lack or defect of pulsation."
acrotomous "Having a cleavage parallel with the base."
act "A performance of part of a play; one of the principal divisions of a play or dramatic work in which a certain definite part of the action is completed."
acted "of Act"
acting "of Act"
actable "Capable of being acted."
actinal "Pertaining to the part of a radiate animal which contains the mouth."
actiniae "of Actinia"
actinias "of Actinia"
actinia "A genus in the family Actinidae."
actino-chemistry "Chemistry in its relations to actinism."
actinograph "An instrument for measuring and recording the variations in the actinic or chemical force of rays of light."
actinolite "A bright green variety of amphibole occurring usually in fibrous or columnar masses."
actinomere "One of the radial segments composing the body of one of the Coelenterata."
actinometer "An instrument for measuring the direct heating power of the sun's rays."
actinometry "The measurement of the force of solar radiation."
actinophorous "Having straight projecting spines."
actinosome "The entire body of a coelenterate."
actinost "One of the bones at the base of a paired fin of a fish."
actinostome "The mouth or anterior opening of a coelenterate animal."
actinozoal "Of or pertaining to the Actinozoa."
actinozoon "One of the Actinozoa."
action "The attitude or position of the several parts of the body as expressive of the sentiment or passion depicted."
actionably "In an actionable manner."
actionary "Alt. of Actionist"
actionist "A shareholder in joint-stock company."
actionless "Void of action."
activate "To make active."
active "Applied to verbs which assert that the subject acts upon or affects something else; transitive."
activeness "The quality of being active; nimbleness; quickness of motion; activity."
activities "of Activity"
actless "Without action or spirit."
actor "A theatrical performer; a stageplayer."
actress "A female actor or doer."
actual "Involving or comprising action; active."
actualities "of Actuality"
actualization "A making actual or really existent."
actualize "To make actual; to realize in action."
actually "Actively."
actualness "Quality of being actual; actuality."
actuaries "of Actuary"
actuated "of Actuate"
actuating "of Actuate"
actuate "To put into action or motion; to move or incite to action; to influence actively; to move as motives do; -- more commonly used of persons."
actuation "A bringing into action; movement."
actuose "Very active."
actuosity "Abundant activity."
acture "Action."
acturience "Tendency or impulse to act."
acuate "To sharpen; to make pungent; to quicken."
acuation "Act of sharpening."
acuition "The act of sharpening."
aculeate "Having a sting; covered with prickles; sharp like a prickle."
aculeated "Having a sharp point; armed with prickles; prickly; aculeate."
aculeiform "Like a prickle."
aculeolate "Having small prickles or sharp points."
aculeous "Aculeate."
aculei "of Aculeus"
aculeus "A sting."
acumen "Quickness of perception or discernment; penetration of mind; the faculty of nice discrimination."
acuminate "To render sharp or keen."
acumination "A sharpening; termination in a sharp point; a tapering point."
acuminous "Characterized by acumen; keen."
acupuncturation "See Acupuncture."
acupuncture "Pricking with a needle; a needle prick."
acustumaunce "See Accustomance."
acutangular "Acute-angled."
acutely "In an acute manner; sharply; keenly; with nice discrimination."
acuteness "Shrillness; high pitch; -- said of sounds."
acutifoliate "Having sharp-pointed leaves."
adact "To compel; to drive."
adactyl "Alt. of Adactylous"
adactylous "Without fingers or without toes."
adagial "Pertaining to an adage; proverbial."
adamant "A stone imagined by some to be of impenetrable hardness; a name given to the diamond and other substances of extreme hardness; but in modern mineralogy it has no technical signification. It is now a rhetorical or poetical name for the embodiment of impenetrable hardness."
adamantean "Of adamant; hard as adamant."
adamantine "Like the diamond in hardness or luster."
adamic "Alt. of Adamical"
adamite "A descendant of Adam; a human being."
adam's "apple See under Adam."
adance "Dancing."
adangle "Dangling."
adapt "Fitted; suited."
adapted "of Adapt"
adapting "of Adapt"
adaptability "Alt. of Adaptableness"
adaptableness "The quality of being adaptable; suitableness."
adaptable "Capable of being adapted."
adaptation "The result of adapting; an adapted form."
adaptative "Adaptive."
adaptedness "The state or quality of being adapted; suitableness; special fitness."
adapter "One who adapts."
adaption "Adaptation."
adaptiveness "The quality of being adaptive; capacity to adapt."
adaptly "In a suitable manner."
adaptness "Adaptedness."
adaptorial "Adaptive."
adatis "A fine cotton cloth of India."
adaunt "To daunt; to subdue; to mitigate."
adaw "To subdue; to daunt."
ad "captandum A phrase used adjectively sometimes of meretricious attempts to catch or win popular favor."
added "of Add"
adding "of Add"
add "To give by way of increased possession ; to bestow ."
addable "Addible."
addeem "To award; to adjudge."
addenda "of Addendum"
